foe_ship_time,foe_ship_id,foe_ship_x,foe_ship_y
254,3,185.7442055425543,528.6081891670831
256,2,220.12030993957688,551.5885225449214
256,3,185.88306514269914,528.6053369917013
258,2,220.244389717009,551.5261179594393
258,3,186.02192474284396,528.6024848163195
260,2,220.36846949444111,551.4637133739571
260,3,186.1607843429888,528.5996326409377
262,2,220.49254927187323,551.401308788475
262,3,186.29964394313362,528.5967804655559
264,2,220.61662904930535,551.3389042029929
264,3,186.43850354327844,528.5939282901741
266,2,220.74070882673746,551.2764996175108
266,3,186.57736314342327,528.5910761147923
268,2,220.86478860416958,551.2140950320287
268,3,186.7162227435681,528.5882239394105
270,2,220.9888683816017,551.1516904465466
270,3,186.85508234371292,528.5853717640287
272,2,221.1129481590338,551.0892858610645
272,3,186.99394194385775,528.5825195886468
274,2,221.23702793646592,551.0268812755824
274,3,187.13280154400258,528.579667413265
276,2,221.36110771389804,550.9644766901002
276,3,187.2716611441474,528.5768152378832
278,2,221.48518749133015,550.9020721046181
278,3,187.41052074429223,528.5739630625014
280,2,221.60926726876227,550.839667519136
280,3,187.54938034443705,528.5711108871196
282,2,221.73334704619438,550.7772629336539
282,3,187.68823994458188,528.5682587117378
284,2,221.8574268236265,550.7148583481718
284,3,187.8270995447267,528.565406536356
286,2,221.9815066010586,550.6524537626897
286,3,187.96595914487153,528.5625543609742
288,2,222.10558637849073,550.5900491772076
288,3,188.10481874501636,528.5597021855924
290,2,222.22966615592284,550.5276445917254
290,3,188.2436783451612,528.5568500102106
292,2,222.35374593335496,550.4652400062433
292,3,188.382537945306,528.5539978348288
294,2,222.47782571078707,550.4028354207612
294,3,188.52139754545084,528.551145659447
296,2,222.6019054882192,550.3404308352791
296,3,188.66025714559566,528.5482934840652
298,2,222.7259852656513,550.278026249797
298,3,188.7991167457405,528.5454413086834
300,2,222.85006504308342,550.2156216643149
300,3,188.93797634588532,528.5425891333016
302,2,222.97414482051553,550.1532170788328
302,3,189.07683594603014,528.5397369579198
304,2,223.09822459794765,550.0908124933507
304,3,189.21569554617497,528.536884782538
306,2,223.22230437537976,550.0284079078685
306,3,189.3545551463198,528.5340326071562
308,2,223.34638415281188,549.9660033223864
308,3,189.49341474646462,528.5311804317744
310,2,223.470463930244,549.9035987369043
310,3,189.63227434660945,528.5283282563926
312,2,223.5945437076761,549.8411941514222
312,3,189.77113394675428,528.5254760810108
314,2,223.71862348510822,549.7787895659401
314,3,189.9099935468991,528.522623905629
316,2,223.84270326254034,549.716384980458
316,3,190.04885314704393,528.5197717302472
318,2,223.96678303997246,549.6539803949759
318,3,190.18771274718875,528.5169195548654
320,2,224.09086281740457,549.5915758094937
320,3,190.32657234733358,528.5140673794835
322,2,224.21494259483669,549.5291712240116
322,3,190.4654319474784,528.5112152041017
324,2,224.3390223722688,549.4667666385295
324,3,190.60429154762323,528.5083630287199
326,2,224.46310214970092,549.4043620530474
326,3,190.74315114776806,528.5055108533381
328,2,224.58718192713303,549.3419574675653
328,3,190.8820107479129,528.5026586779563
330,2,224.71126170456515,549.2795528820832
330,3,191.0208703480577,528.4998065025745
332,2,224.83534148199726,549.2171482966011
332,3,191.15972994820254,528.4969543271927
334,2,224.95942125942938,549.154743711119
334,3,191.29858954834737,528.4941021518109
336,2,225.0835010368615,549.0923391256368
336,3,191.4374491484922,528.4912499764291
338,2,225.2075808142936,549.0299345401547
338,3,191.57630874863702,528.4883978010473
340,2,225.33166059172572,548.9675299546726
340,3,191.71516834878184,528.4855456256655
342,2,225.45574036915784,548.9051253691905
342,3,191.85402794892667,528.4826934502837
344,2,225.57982014658995,548.8427207837084
344,3,191.9928875490715,528.4798412749019
346,2,225.70389992402207,548.7803161982263
346,3,192.13174714921632,528.4769890995201
348,2,225.82797970145418,548.7179116127442
348,3,192.27060674936115,528.4741369241383
350,2,225.9520594788863,548.655507027262
350,3,192.40946634950598,528.4712847487565
352,2,226.0761392563184,548.5931024417799
352,3,192.5483259496508,528.4684325733747
354,2,226.20021903375053,548.5306978562978
354,3,192.68718554979563,528.4655803979929
356,2,226.32429881118264,548.4682932708157
356,3,192.82604514994046,528.4627282226111
358,2,226.44837858861476,548.4058886853336
358,3,192.96490475008528,528.4598760472293
360,2,226.57245836604687,548.3434840998515
360,3,193.1037643502301,528.4570238718475
362,2,226.696538143479,548.2810795143694
362,3,193.24262395037493,528.4541716964657
364,2,226.8206179209111,548.2186749288873
364,3,193.38148355051976,528.4513195210839
366,2,226.94469769834322,548.1562703434051
366,3,193.5203431506646,528.448467345702
368,2,227.06877747577533,548.093865757923
368,3,193.6592027508094,528.4456151703203
370,2,227.19285725320745,548.0314611724409
370,3,193.79806235095424,528.4427629949384
372,2,227.31693703063956,547.9690565869588
372,3,193.93692195109907,528.4399108195566
374,2,227.44101680807168,547.9066520014767
374,3,194.0757815512439,528.4370586441748
376,2,227.5650965855038,547.8442474159946
376,3,194.21464115138872,528.434206468793
378,2,227.6891763629359,547.7818428305125
378,3,194.35350075153355,528.4313542934112
380,2,227.81325614036803,547.7194382450303
380,3,194.49236035167837,528.4285021180294
382,2,227.93733591780014,547.6570336595482
382,3,194.6312199518232,528.4256499426476
384,2,228.06141569523226,547.5946290740661
384,3,194.77007955196802,528.4227977672658
386,2,228.18549547266437,547.532224488584
386,3,194.90893915211285,528.419945591884
388,2,228.3095752500965,547.4698199031019
388,3,195.04779875225768,528.4170934165022
390,2,228.4336550275286,547.4074153176198
390,3,195.1866583524025,528.4142412411204
392,2,228.55773480496072,547.3450107321377
392,3,195.32551795254733,528.4113890657386
394,2,228.68181458239283,547.2826061466556
394,3,195.46437755269216,528.4085368903568
396,2,228.80589435982495,547.2202015611734
396,3,195.60323715283698,528.405684714975
398,2,228.92997413725706,547.1577969756913
398,3,195.7420967529818,528.4028325395932
400,2,229.05405391468918,547.0953923902092
400,3,195.88095635312663,528.3999803642114
402,2,229.1781336921213,547.0329878047271
402,3,196.01981595327146,528.3971281888296
404,2,229.3022134695534,546.970583219245
404,3,196.1586755534163,528.3942760134478
406,2,229.42629324698552,546.9081786337629
406,3,196.2975351535611,528.391423838066
408,2,229.55037302441764,546.8457740482808
408,3,196.43639475370594,528.3885716626842
410,2,229.67445280184975,546.7833694627986
410,3,196.57525435385077,528.3857194873024
412,2,229.79853257928187,546.7209648773165
412,3,196.7141139539956,528.3828673119206
414,2,229.92261235671398,546.6585602918344
414,3,196.85297355414042,528.3800151365388
416,2,230.0466921341461,546.5961557063523
416,3,196.99183315428525,528.377162961157
418,2,230.1707719115782,546.5337511208702
418,3,197.13069275443007,528.3743107857752
420,2,230.29485168901033,546.4713465353881
420,3,197.2695523545749,528.3714586103933
422,2,230.41893146644244,546.408941949906
422,3,197.40841195471972,528.3686064350115
424,2,230.54301124387456,546.3465373644239
424,3,197.54727155486455,528.3657542596297
426,2,230.66709102130667,546.2841327789417
426,3,197.68613115500938,528.3629020842479
428,2,230.7911707987388,546.2217281934596
428,3,197.8249907551542,528.3600499088661
430,2,230.9152505761709,546.1593236079775
430,3,197.96385035529903,528.3571977334843
432,2,231.03933035360302,546.0969190224954
432,3,198.10270995544386,528.3543455581025
434,2,231.16341013103514,546.0345144370133
434,3,198.24156955558868,528.3514933827207
436,2,231.28748990846725,545.9721098515312
436,3,198.3804291557335,528.3486412073389
438,2,231.41156968589937,545.9097052660491
438,3,198.51928875587834,528.3457890319571
440,2,231.53564946333148,545.847300680567
440,3,198.65814835602316,528.3429368565753
442,2,231.6597292407636,545.7848960950848
442,3,198.797007956168,528.3400846811935
444,2,231.7838090181957,545.7224915096027
444,3,198.93586755631281,528.3372325058117
446,2,231.90788879562783,545.6600869241206
446,3,199.07472715645764,528.3343803304299
448,2,232.03196857305994,545.5976823386385
448,3,199.21358675660247,528.3315281550481
450,2,232.15604835049206,545.5352777531564
450,3,199.3524463567473,528.3286759796663
452,2,232.28012812792417,545.4728731676743
452,3,199.49130595689212,528.3258238042845
